,bagging_temperature,bootstrap_type,iterations,learning_rate,loss_function,max_depth,random_seed,random_strength,task_type,loss,iteration,train_time
0,31.944725103976733,Bayesian,1000.0,0.006450515080504199,MAE,9.0,42.0,45.470105222137214,GPU,7.594821932212211,1,12.988189780712128
1,31.579959348704868,Bayesian,1000.0,0.1561278943249286,MAE,8.0,42.0,41.01039588533138,GPU,6.10665905009413,2,15.854231945673625
2,95.12239065933292,Bayesian,1000.0,0.015312679841029722,MAE,9.0,42.0,83.73883555532842,GPU,6.763570554840496,3,2.603682367006938
3,43.3332801870225,Bayesian,1000.0,0.007361404239812721,MAE,9.0,42.0,44.48325123011517,GPU,7.4154203650562565,4,2.6232786496480305
4,80.27647811563104,Bayesian,1000.0,0.04540224209868508,MAE,3.0,42.0,81.23959883573632,GPU,6.515808637351508,5,2.638401099046072
5,71.57132621070329,Bayesian,1000.0,0.034885681935291124,MAE,6.0,42.0,79.95534416071729,GPU,6.515804607806591,6,2.6313817938168844
6,18.84252917654301,Bayesian,1000.0,0.00914278526158578,MAE,10.0,42.0,73.40280179855682,GPU,7.119945705179153,7,17.41125417947769
7,87.43252953344576,Bayesian,1000.0,0.018799499169384795,MAE,8.0,42.0,61.70793585023162,GPU,6.6352214168993555,8,2.5903010010719303
8,83.76564370605266,Bayesian,1000.0,0.031213282799895926,MAE,9.0,42.0,54.340306769031244,GPU,6.5376156552655456,9,2.610223348935445
9,41.58210875794535,Bayesian,1000.0,0.12456862918729726,MAE,8.0,42.0,95.54779863099282,GPU,6.515859409617455,10,2.6449395457903546
10,25.455425786404483,Bayesian,1000.0,0.07701040925312412,MAE,9.0,42.0,0.3630307254743226,GPU,6.129062147597982,11,17.79379222393036
11,51.25597000903308,Bayesian,1000.0,0.030088067584505118,MAE,5.0,42.0,87.91358871980452,GPU,6.546463876521848,12,2.6240859150886537
12,30.848606328904417,Bayesian,1000.0,0.1726959301296252,MAE,4.0,42.0,88.14784176329411,GPU,6.130304346399022,13,11.169266299406688
13,37.48772872410356,Bayesian,1000.0,0.11506366275273212,MAE,2.0,42.0,52.71098077466071,GPU,6.515851716849885,14,2.6231308460235594
14,49.30659802750759,Bayesian,1000.0,0.012029131692006364,MAE,9.0,42.0,63.703403142412654,GPU,6.909743542178052,15,2.600306518872579
15,73.43759393869367,Bayesian,1000.0,0.019527926855305442,MAE,7.0,42.0,58.3369285641829,GPU,6.62947990150913,16,2.650412392616272
16,90.10237502883562,Bayesian,1000.0,0.014614639399825501,MAE,3.0,42.0,51.583211193039666,GPU,6.794674392256709,17,2.6589173158009847
