,Unnamed: 0,test-MAE-mean,test-MAE-std,train-MAE-mean,train-MAE-std,iteration
30328,30328,9.867099014856857,0.07781431512756952,9.867075643496344,0.00972346454421054,35
30329,30329,9.76788275401665,0.07780781870073081,9.767883120338915,0.009730730678072569,35
30330,30330,9.66863015400774,0.07781005729257139,9.66863279152805,0.00973944058890571,35
30331,30331,9.569385100237492,0.07781316196321185,9.569402024326145,0.009725554697762885,35
30332,30332,9.47013337940202,0.07781435333572989,9.470134917955534,0.009732109779126544,35
30333,30333,9.37088847216068,0.0778179549664292,9.370930525956716,0.009715812030728318,35
30334,30334,9.271655580289638,0.07782068029998683,9.271678951650149,0.0097190835557533,35
30335,30335,9.172404885156505,0.07781881345981656,9.172456756389243,0.009719198993438828,35
30336,30336,9.073147083371431,0.07781949991956136,9.073175070392487,0.009719267992207034,35
30337,30337,8.973889574644167,0.0778238388566308,8.973951922693693,0.009707938339354252,35
30338,30338,8.887546903902829,0.07754860215148544,8.887590496252377,0.009679395554423395,35
30339,30339,8.813782127927944,0.07717267842178396,8.813839054407941,0.00969290813768475,35
30340,30340,8.740047463643247,0.07702610199430443,8.740225496264099,0.00957389045378437,35
30341,30341,8.666291332873818,0.07687427974018281,8.666472808923963,0.009489747754179552,35
30342,30342,8.592443035422484,0.07665434998496183,8.592695724520969,0.009418859138266691,35
30343,30343,8.518640308460931,0.07641613569623053,8.518930655488267,0.009365266043218669,35
30344,30344,8.444870257445427,0.0762850965015184,8.445183536246562,0.0093057780067219,35
30345,30345,8.370988185081247,0.07601929103858028,8.371393923622099,0.009256160834826796,35
30346,30346,8.297231175138382,0.07584050646748285,8.297629807027294,0.009209372448090378,35
30347,30347,8.223385295413998,0.07557850962078783,8.223876460307077,0.009163337936882784,35
30348,30348,8.14975444685924,0.07543248148236475,8.150367597066609,0.009053090652808064,35
30349,30349,8.083016098251735,0.07508127506312959,8.083500303021781,0.009120606831016743,35
30350,30350,8.026645475656274,0.07473529866239996,8.027270787762841,0.009153172837724832,35
30351,30351,7.974330406858019,0.07469421260140766,7.975063124652728,0.009062326358703451,35
30352,30352,7.924201256280228,0.07440325112168368,7.925047314183764,0.009057417397441977,35
30353,30353,7.875351156523348,0.07442085198808908,7.876205126987811,0.008964295679232799,35
30354,30354,7.8266250202209875,0.07413685891215634,7.827563830922055,0.0089049723192305,35
