loss,params,iteration,train_time
6.088363597413589,"{'bagging_temperature': 0.4570576449101187, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.06351645640154241, 'loss_function': 'MAE', 'max_depth': 6.0, 'random_seed': 42, 'random_strength': 20.349024979343188, 'task_type': 'GPU'}",22,13.691868086655935
6.094038002564842,"{'bagging_temperature': 2.7360548295025677, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.059012482646835986, 'loss_function': 'MAE', 'max_depth': 7.0, 'random_seed': 42, 'random_strength': 12.627429502443732, 'task_type': 'GPU'}",23,15.252388064066569
6.1211572061743755,"{'bagging_temperature': 11.370458868702933, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.08841748209568326, 'loss_function': 'MAE', 'max_depth': 10.0, 'random_seed': 42, 'random_strength': 33.79947924816648, 'task_type': 'GPU'}",24,20.108653624852497
6.171240566469028,"{'bagging_temperature': 7.281952350019115, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.04773125629058833, 'loss_function': 'MAE', 'max_depth': 5.0, 'random_seed': 42, 'random_strength': 6.685190275755225, 'task_type': 'GPU'}",25,12.576967171827953
6.10879895823809,"{'bagging_temperature': 16.610204131736275, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.18503022705500094, 'loss_function': 'MAE', 'max_depth': 7.0, 'random_seed': 42, 'random_strength': 25.42582218431162, 'task_type': 'GPU'}",26,15.001333661874135
6.066083657455273,"{'bagging_temperature': 0.24876594055634937, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.13171835223249723, 'loss_function': 'MAE', 'max_depth': 5.0, 'random_seed': 42, 'random_strength': 34.65584060410642, 'task_type': 'GPU'}",27,12.398639659086863
6.515861900608857,"{'bagging_temperature': 59.64754646219706, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.14208695996220946, 'loss_function': 'MAE', 'max_depth': 5.0, 'random_seed': 42, 'random_strength': 17.17340970677606, 'task_type': 'GPU'}",28,2.5622137347857157
6.125986798917797,"{'bagging_temperature': 12.838434514292919, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.19643351466639242, 'loss_function': 'MAE', 'max_depth': 4.0, 'random_seed': 42, 'random_strength': 39.465014397119646, 'task_type': 'GPU'}",29,11.190673863887787
6.155435592340172,"{'bagging_temperature': 23.131709885088842, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.09836691338124583, 'loss_function': 'MAE', 'max_depth': 4.0, 'random_seed': 42, 'random_strength': 38.563471937554645, 'task_type': 'GPU'}",30,11.193075927098592
6.1124710458881655,"{'bagging_temperature': 7.8558184220983875, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.1376528983990229, 'loss_function': 'MAE', 'max_depth': 6.0, 'random_seed': 42, 'random_strength': 46.13038581390732, 'task_type': 'GPU'}",31,13.888896493117015
