,Predicted,Actual
518820,11.294788990365305,4.0
550891,8.164370728194399,8.0
438927,8.904103328299925,23.0
364896,6.57452522913627,6.0
165460,5.837219934360974,5.0
437675,6.135202901632283,16.0
51007,9.342217018120323,7.0
325362,4.701237162852067,3.0
256239,3.93348207134477,4.0
329581,4.383533264151993,7.0
275384,5.835276960455985,15.0
292215,7.949553336311737,14.0
210814,3.8114268345664186,7.0
568577,8.805089370469545,28.0
308285,13.601693649472963,21.0
561555,8.036852687604778,5.0
171372,5.4642533203202674,11.0
120762,6.80856157503672,6.0
105765,3.8740319422993252,21.0
268517,7.338066732141897,4.0
384349,7.804636591419694,4.0
151777,7.136988683229447,9.0
345019,8.818682418401863,6.0
366541,4.926924033303521,1.0
567213,7.717829017655049,4.0
475974,8.306282978665308,30.0
329273,3.1918206577936417,4.0
56249,4.282551833540765,6.0
35927,5.651760410976408,7.0
84477,9.9635281785595,7.0
92265,4.163488492455599,7.0
182064,4.885098824740453,2.0
549314,4.107110473217745,7.0
225915,5.841390925101905,16.0
4594,3.663438184645429,3.0
387727,7.694192047098909,2.0
196351,7.540073088108329,62.0
118187,5.966335847268056,7.0
25707,10.599670979549956,12.0
1271,9.472502892956982,14.0
535616,6.067665306775666,4.0
156025,4.382654153131853,4.0
434078,11.431307891702318,10.0
358472,10.66001689257223,9.0
206281,11.19978824362488,10.0
403263,13.52954360093645,37.0
230106,9.501003975168715,70.0
196864,5.731933575448238,3.0
58585,5.811739209738107,4.0
30218,9.486058610690066,43.0
470876,3.2892325544212326,7.0
471100,9.266686446029894,4.0
56033,7.141315805893555,4.0
278308,6.808829556035562,4.0
482057,4.189581713812231,8.0
329698,5.1588492369180585,10.0
285604,3.6800765383241014,6.0
56090,3.4064794864698342,2.0
225008,6.634277009589141,11.0
542776,4.135301566632279,1.0
355596,5.866809927438908,10.0
464933,5.260521669764785,6.0
24882,3.885783725350393,3.0
99577,12.84134628067477,20.0
512663,9.737415067636562,5.0
475885,6.187226072462181,3.0
142542,4.975334408328763,5.0
104658,4.720686154790883,3.0
277746,9.106243600790322,2.0
392173,10.484730943116006,15.0
12190,6.284980677862563,9.0
230367,7.825488314358722,7.0
511578,8.619613553086879,7.0
324387,5.735960149746234,7.0
523339,3.7024262502375223,7.0
542532,4.767687423553298,8.0
201385,3.684563576143546,10.0
346868,7.933814985580966,22.0
206954,4.411673471642416,5.0
508655,6.663635946974409,12.0
308583,15.220078274718162,15.0
331309,3.477383730696829,3.0
246878,7.117782172545276,8.0
281918,7.678213647109942,4.0
411887,3.583469600264607,6.0
104450,9.313931674098626,39.0
396101,8.643902006633198,22.0
310163,4.636948874572909,6.0
236823,7.045788565449584,8.0
125486,5.188717532280407,6.0
118074,5.442269786420866,2.0
443568,7.910872239858236,6.0
90800,4.966621301549367,3.0
129374,7.415388498221091,8.0
526666,6.161647470715252,6.0
241181,9.423337492106839,28.0
120078,2.7107704280692815,4.0
97147,9.96186453998098,5.0
289840,10.133423958508843,9.0
453185,9.873197477816234,15.0
53587,6.434673013392512,61.0
223464,7.513609308059131,10.0
463843,4.017883471637106,6.0
18288,9.20482733555832,12.0
